date,Depth,Variables,Values
2021-01-15T10:07:50Z,0.251,Salinity,34.09932629
2021-01-15T10:07:50Z,0.251,AbsPressure,104.29
2021-01-15T10:08:00Z,0.283,Temperature,29.2
2021-01-15T10:08:00Z,0.283,Salinity,34.07557329
2021-01-15T10:08:00Z,0.283,AbsPressure,104.618
2021-01-15T10:08:10Z,0.269,Temperature,29.2
2021-01-15T10:08:10Z,0.269,Salinity,34.06897373
2021-01-15T10:08:10Z,0.269,AbsPressure,104.48
2021-01-15T10:08:20Z,0.254,Temperature,29.19
2021-01-15T10:08:20Z,0.254,Salinity,34.05275708
2021-01-15T10:08:20Z,0.254,AbsPressure,104.325
2021-01-15T10:08:30Z,0.29,Temperature,29.2
2021-01-15T10:08:30Z,0.29,Salinity,34.06228432
2021-01-15T10:08:30Z,0.29,AbsPressure,104.686
2021-01-15T10:08:40Z,0.31,Temperature,29.2
2021-01-15T10:08:40Z,0.31,Salinity,34.04899548
2021-01-15T10:08:40Z,0.31,AbsPressure,104.893
2021-01-15T10:08:50Z,0.283,Temperature,29.19
2021-01-15T10:08:50Z,0.283,Salinity,34.07274139
2021-01-15T10:08:50Z,0.283,AbsPressure,104.618
2021-01-15T10:09:00Z,0.281,Temperature,29.2
2021-01-15T10:09:00Z,0.281,Salinity,34.06563039
2021-01-15T10:09:00Z,0.281,AbsPressure,104.6
2021-01-15T10:09:10Z,0.278,Temperature,29.2
2021-01-15T10:09:10Z,0.278,Salinity,34.05894073
2021-01-15T10:09:10Z,0.278,AbsPressure,104.566
2021-01-15T10:09:20Z,0.276,Temperature,29.2
2021-01-15T10:09:20Z,0.276,Salinity,34.06563108
2021-01-15T10:09:20Z,0.276,AbsPressure,104.549
2021-01-15T10:09:30Z,0.259,Temperature,29.19
2021-01-15T10:09:30Z,0.259,Salinity,34.03612329
2021-01-15T10:09:30Z,0.259,AbsPressure,104.376
2021-01-15T10:09:40Z,0.228,Temperature,29.2
2021-01-15T10:09:40Z,0.228,Salinity,34.0456528
2021-01-15T10:09:40Z,0.228,AbsPressure,104.066
2021-01-15T10:09:50Z,0.245,Temperature,29.2
2021-01-15T10:09:50Z,0.245,Salinity,34.03570956
2021-01-15T10:09:50Z,0.245,AbsPressure,104.239
2021-01-15T10:10:00Z,0.242,Temperature,29.21
2021-01-15T10:10:00Z,0.242,Salinity,34.02191986
2021-01-15T10:10:00Z,0.242,AbsPressure,104.204
2021-01-15T10:10:10Z,0.268,Temperature,29.21
2021-01-15T10:10:10Z,0.268,Salinity,34.03854928
2021-01-15T10:10:10Z,0.268,AbsPressure,104.463
2021-01-15T10:10:20Z,0.244,Temperature,29.25
2021-01-15T10:10:20Z,0.244,Salinity,34.05332486
2021-01-15T10:10:20Z,0.244,AbsPressure,104.221
2021-01-15T10:10:30Z,0.281,Temperature,29.22
2021-01-15T10:10:30Z,0.281,Salinity,34.10130736
2021-01-15T10:10:30Z,0.281,AbsPressure,104.6
2021-01-15T10:10:40Z,0.276,Temperature,29.19
2021-01-15T10:10:40Z,0.276,Salinity,34.15604413
2021-01-15T10:10:40Z,0.276,AbsPressure,104.549
2021-01-15T10:10:50Z,0.271,Temperature,29.2
2021-01-15T10:10:50Z,0.271,Salinity,34.14891525
2021-01-15T10:10:50Z,0.271,AbsPressure,104.497
2021-01-15T10:11:00Z,0.305,Temperature,29.2
2021-01-15T10:11:00Z,0.305,Salinity,34.15895493
2021-01-15T10:11:00Z,0.305,AbsPressure,104.841
2021-01-15T10:11:10Z,0.264,Temperature,29.2
2021-01-15T10:11:10Z,0.264,Salinity,34.15895528
2021-01-15T10:11:10Z,0.264,AbsPressure,104.428
2021-01-15T10:11:20Z,0.281,Temperature,29.2
2021-01-15T10:11:20Z,0.281,Salinity,34.15895563
2021-01-15T10:11:20Z,0.281,AbsPressure,104.6
2021-01-15T10:11:30Z,0.256,Temperature,29.19
2021-01-15T10:11:30Z,0.256,Salinity,34.13270803
2021-01-15T10:11:30Z,0.256,AbsPressure,104.342
2021-01-15T10:11:40Z,0.259,Temperature,29.2
2021-01-15T10:11:40Z,0.259,Salinity,34.15560983
2021-01-15T10:11:40Z,0.259,AbsPressure,104.376
2021-01-15T10:11:50Z,0.263,Temperature,29.19
2021-01-15T10:11:50Z,0.263,Salinity,34.1260154
2021-01-15T10:11:50Z,0.263,AbsPressure,104.411
2021-01-15T10:12:00Z,0.283,Temperature,29.2
2021-01-15T10:12:00Z,0.283,Salinity,34.15226408
2021-01-15T10:12:00Z,0.283,AbsPressure,104.618
2021-01-15T10:12:10Z,0.233,Temperature,29.2
2021-01-15T10:12:10Z,0.233,Salinity,34.11220163
2021-01-15T10:12:10Z,0.233,AbsPressure,104.118
2021-01-15T10:12:20Z,0.29,Temperature,29.2
2021-01-15T10:12:20Z,0.29,Salinity,34.10560093
2021-01-15T10:12:20Z,0.29,AbsPressure,104.686
2021-01-15T10:12:30Z,0.278,Temperature,29.2
2021-01-15T10:12:30Z,0.278,Salinity,34.0822732
2021-01-15T10:12:30Z,0.278,AbsPressure,104.566
2021-01-15T10:12:40Z,0.266,Temperature,29.19
2021-01-15T10:12:40Z,0.266,Salinity,34.03947511
2021-01-15T10:12:40Z,0.266,AbsPressure,104.445
2021-01-15T10:12:50Z,0.252,Temperature,29.19
2021-01-15T10:12:50Z,0.252,Salinity,34.04942103
2021-01-15T10:12:50Z,0.252,AbsPressure,104.307
2021-01-15T10:13:00Z,0.271,Temperature,29.17
2021-01-15T10:13:00Z,0.271,Salinity,34.04699846
2021-01-15T10:13:00Z,0.271,AbsPressure,104.497
2021-01-15T10:13:10Z,0.302,Temperature,29.16
2021-01-15T10:13:10Z,0.302,Salinity,34.09409949
2021-01-15T10:13:10Z,0.302,AbsPressure,104.807
2021-01-15T10:13:20Z,0.257,Temperature,29.15
2021-01-15T10:13:20Z,0.257,Salinity,34.08791753
2021-01-15T10:13:20Z,0.257,AbsPressure,104.359
2021-01-15T10:13:30Z,0.276,Temperature,29.16
2021-01-15T10:13:30Z,0.276,Salinity,34.0242576
2021-01-15T10:13:30Z,0.276,AbsPressure,104.549
2021-01-15T10:13:40Z,0.239,Temperature,29.12
2021-01-15T10:13:40Z,0.239,Salinity,34.04934875
2021-01-15T10:13:40Z,0.239,AbsPressure,104.17
2021-01-15T10:13:50Z,0.274,Temperature,29.12
2021-01-15T10:13:50Z,0.274,Salinity,34.04934909
2021-01-15T10:13:50Z,0.274,AbsPressure,104.531
2021-01-15T10:14:00Z,0.247,Temperature,29.1
2021-01-15T10:14:00Z,0.247,Salinity,34.00716563
2021-01-15T10:14:00Z,0.247,AbsPressure,104.256
2021-01-15T10:14:10Z,0.266,Temperature,29.09
2021-01-15T10:14:10Z,0.266,Salinity,33.97461056
2021-01-15T10:14:10Z,0.266,AbsPressure,104.445
2021-01-15T10:14:20Z,0.269,Temperature,29.09
2021-01-15T10:14:20Z,0.269,Salinity,33.99444197
2021-01-15T10:14:20Z,0.269,AbsPressure,104.48
2021-01-15T10:14:30Z,0.265,Temperature,29.1
2021-01-15T10:14:30Z,0.265,Salinity,33.99394737
2021-01-15T10:14:30Z,0.265,AbsPressure,104.431
2021-01-15T10:14:40Z,0.268,Temperature,29.08
2021-01-15T10:14:40Z,0.268,Salinity,34.0115131
2021-01-15T10:14:40Z,0.268,AbsPressure,104.465
2021-01-15T10:14:50Z,0.251,Temperature,29.06
2021-01-15T10:14:50Z,0.251,Salinity,34.04232287
